Index,Lat,Lon,UTC,time
7135,21.00867483,105.8535078,2305:476988.550,29:30.6
7136,21.00867533,105.8535118,2305:476988.600,29:30.6
7137,21.00867583,105.853516,2305:476988.650,29:30.6
7138,21.00867633,105.8535198,2305:476988.700,29:30.7
7139,21.00867667,105.8535238,2305:476988.750,29:30.7
7140,21.00867717,105.853528,2305:476988.800,29:30.8
7141,21.00867767,105.853532,2305:476988.850,29:30.8
7142,21.00867817,105.8535362,2305:476988.900,29:30.9
7143,21.00867867,105.8535402,2305:476988.950,29:30.9
7144,21.00867917,105.8535442,2305:476989.000,29:31.0
7145,21.00867967,105.8535483,2305:476989.050,29:31.0
7146,21.00868,105.8535523,2305:476989.100,29:31.1
7147,21.00868033,105.8535563,2305:476989.150,29:31.1
7148,21.008681,105.8535605,2305:476989.200,29:31.2
7149,21.0086815,105.8535645,2305:476989.250,29:31.2
7150,21.008682,105.8535687,2305:476989.300,29:31.3
7151,21.0086825,105.8535727,2305:476989.350,29:31.3
7152,21.008683,105.8535767,2305:476989.400,29:31.4
7153,21.0086835,105.8535807,2305:476989.450,29:31.4
7154,21.008684,105.8535848,2305:476989.500,29:31.5
7155,21.0086845,105.8535888,2305:476989.550,29:31.5
7156,21.008685,105.8535932,2305:476989.600,29:31.6
7157,21.00868533,105.8535972,2305:476989.650,29:31.6
7158,21.00868583,105.8536012,2305:476989.700,29:31.7
7159,21.00868633,105.8536052,2305:476989.750,29:31.7
7160,21.00868683,105.853609,2305:476989.800,29:31.8
7161,21.0086875,105.8536132,2305:476989.850,29:31.8
7162,21.00868783,105.8536172,2305:476989.900,29:31.9
7163,21.00868833,105.8536212,2305:476989.950,29:31.9
7164,21.00868883,105.8536252,2305:476990.000,29:32.0
7165,21.00868983,105.8536333,2305:476990.100,29:32.1
7166,21.00869033,105.8536373,2305:476990.150,29:32.1
7167,21.00869083,105.8536415,2305:476990.200,29:32.2
7168,21.00869133,105.8536453,2305:476990.250,29:32.2
7169,21.00869183,105.8536492,2305:476990.300,29:32.3
7170,21.00869233,105.8536532,2305:476990.350,29:32.3
7171,21.00869283,105.8536572,2305:476990.400,29:32.4
7172,21.00869333,105.8536612,2305:476990.450,29:32.4
7173,21.00869383,105.853665,2305:476990.500,29:32.5
7174,21.00869417,105.8536688,2305:476990.550,29:32.5
7175,21.00869467,105.8536725,2305:476990.600,29:32.6
7176,21.00869517,105.8536763,2305:476990.650,29:32.6
7177,21.00869567,105.8536802,2305:476990.700,29:32.7
7178,21.00869617,105.8536838,2305:476990.750,29:32.8
7179,21.00869667,105.8536875,2305:476990.800,29:32.8
7180,21.00869717,105.8536912,2305:476990.850,29:32.8
7181,21.00869767,105.8536947,2305:476990.900,29:32.9
7182,21.00869817,105.8536983,2305:476990.950,29:32.9
7183,21.00869867,105.8537018,2305:476991.000,29:33.0
7184,21.00869917,105.8537053,2305:476991.050,29:33.0
7185,21.0086995,105.8537087,2305:476991.100,29:33.1
7186,21.0087,105.8537122,2305:476991.150,29:33.1
7187,21.0087005,105.8537155,2305:476991.200,29:33.2
7188,21.008701,105.8537188,2305:476991.250,29:33.2
7189,21.0087015,105.8537222,2305:476991.300,29:33.3
7190,21.008702,105.8537255,2305:476991.350,29:33.3
7191,21.0087025,105.8537285,2305:476991.400,29:33.4
7192,21.008703,105.8537318,2305:476991.450,29:33.4
7193,21.0087035,105.853735,2305:476991.500,29:33.5
7194,21.008704,105.8537382,2305:476991.550,29:33.5
7195,21.00870433,105.8537412,2305:476991.600,29:33.6
7196,21.00870483,105.8537443,2305:476991.650,29:33.6
7197,21.00870533,105.8537473,2305:476991.700,29:33.7
7198,21.00870583,105.8537502,2305:476991.750,29:33.7
7199,21.00870633,105.8537533,2305:476991.800,29:33.8
7200,21.00870667,105.8537562,2305:476991.850,29:33.8
7201,21.008707,105.853759,2305:476991.900,29:33.9
7202,21.00870733,105.8537618,2305:476991.950,29:33.9
7203,21.00870783,105.8537645,2305:476992.000,29:34.0
7204,21.00870833,105.8537673,2305:476992.050,29:34.0
7205,21.00870867,105.8537702,2305:476992.100,29:34.1
7206,21.00870917,105.8537728,2305:476992.150,29:34.1
7207,21.00871,105.8537782,2305:476992.250,29:34.2
7208,21.00871033,105.8537807,2305:476992.300,29:34.3
7209,21.00871067,105.8537832,2305:476992.350,29:34.3
7210,21.00871117,105.8537858,2305:476992.400,29:34.4
7211,21.00871133,105.8537883,2305:476992.450,29:34.4
7212,21.00871167,105.8537907,2305:476992.500,29:34.5
7213,21.008712,105.8537932,2305:476992.550,29:34.5
7214,21.0087125,105.8537957,2305:476992.600,29:34.6
7215,21.00871283,105.853798,2305:476992.650,29:34.6
7216,21.00871317,105.8538002,2305:476992.700,29:34.7
7217,21.0087135,105.8538025,2305:476992.750,29:34.7
7218,21.00871383,105.8538048,2305:476992.800,29:34.8
7219,21.008714,105.853807,2305:476992.850,29:34.8
7220,21.00871433,105.8538092,2305:476992.900,29:34.9
7221,21.00871467,105.8538115,2305:476992.950,29:35.0
7222,21.008715,105.8538137,2305:476993.000,29:35.0
7223,21.00871567,105.8538182,2305:476993.100,29:35.1
7224,21.008716,105.8538203,2305:476993.150,29:35.1
7225,21.0087165,105.8538227,2305:476993.200,29:35.2
7226,21.00871683,105.8538248,2305:476993.250,29:35.2
7227,21.00871717,105.853827,2305:476993.300,29:35.3
7228,21.00871733,105.8538292,2305:476993.350,29:35.3
7229,21.0087175,105.8538313,2305:476993.400,29:35.4
7230,21.008718,105.8538335,2305:476993.450,29:35.4
7231,21.00871817,105.8538355,2305:476993.500,29:35.5
7232,21.0087185,105.8538375,2305:476993.550,29:35.5
7233,21.00871867,105.8538397,2305:476993.600,29:35.6
7234,21.008719,105.8538418,2305:476993.650,29:35.6
7235,21.00871917,105.853844,2305:476993.700,29:35.7
7236,21.0087195,105.853846,2305:476993.750,29:35.7
7237,21.00872,105.853848,2305:476993.800,29:35.8
7238,21.00872017,105.8538502,2305:476993.850,29:35.8
7239,21.0087205,105.8538522,2305:476993.900,29:35.9
7240,21.00872067,105.853854,2305:476993.950,29:35.9
7241,21.008721,105.853856,2305:476994.000,29:36.0
7242,21.00872133,105.853858,2305:476994.050,29:36.0
7243,21.0087215,105.85386,2305:476994.100,29:36.1
7244,21.00872183,105.8538622,2305:476994.150,29:36.1
7245,21.00872217,105.853864,2305:476994.200,29:36.2
7246,21.00872233,105.8538658,2305:476994.250,29:36.2
7247,21.0087225,105.8538677,2305:476994.300,29:36.3
7248,21.00872267,105.8538697,2305:476994.350,29:36.3
7249,21.008723,105.8538715,2305:476994.400,29:36.4
7250,21.00872317,105.8538735,2305:476994.450,29:36.4
7251,21.0087235,105.8538755,2305:476994.500,29:36.5
7252,21.00872383,105.8538773,2305:476994.550,29:36.5
7253,21.008724,105.8538792,2305:476994.600,29:36.6
7254,21.00872433,105.8538812,2305:476994.650,29:36.6
7255,21.00872467,105.8538828,2305:476994.700,29:36.7
7256,21.00872483,105.8538848,2305:476994.750,29:36.7
7257,21.008725,105.8538865,2305:476994.800,29:36.8
7258,21.00872517,105.8538883,2305:476994.850,29:36.8
7259,21.0087255,105.85389,2305:476994.900,29:36.9
7260,21.00872583,105.8538918,2305:476994.950,29:36.9
7261,21.00872633,105.8538953,2305:476995.050,29:37.0
7262,21.0087265,105.853897,2305:476995.100,29:37.1
7263,21.00872667,105.8538987,2305:476995.150,29:37.2
7264,21.00872683,105.8539003,2305:476995.200,29:37.2
7265,21.008727,105.853902,2305:476995.250,29:37.2
7266,21.00872733,105.8539037,2305:476995.300,29:37.3
7267,21.0087275,105.8539052,2305:476995.350,29:37.3
7268,21.00872767,105.8539067,2305:476995.400,29:37.4
7269,21.00872783,105.8539082,2305:476995.450,29:37.4
7270,21.00872783,105.8539093,2305:476995.500,29:37.5
7271,21.008728,105.8539108,2305:476995.550,29:37.5
7272,21.00872817,105.8539122,2305:476995.600,29:37.6
7273,21.0087285,105.8539137,2305:476995.650,29:37.6
7274,21.00872867,105.8539152,2305:476995.700,29:37.7
7275,21.00872883,105.8539163,2305:476995.750,29:37.7
7276,21.008729,105.8539175,2305:476995.800,29:37.8
7277,21.00872917,105.853919,2305:476995.850,29:37.9
7278,21.00872933,105.8539203,2305:476995.900,29:37.9
7279,21.0087295,105.8539215,2305:476995.950,29:37.9
7280,21.00872967,105.8539227,2305:476996.000,29:38.0
7281,21.00872983,105.8539238,2305:476996.050,29:38.0
7282,21.00873,105.8539252,2305:476996.100,29:38.1
7283,21.00873017,105.853926,2305:476996.150,29:38.1
7284,21.00873033,105.853927,2305:476996.200,29:38.2
7285,21.0087305,105.8539282,2305:476996.250,29:38.2
7286,21.0087305,105.8539292,2305:476996.300,29:38.3
7287,21.00873067,105.8539303,2305:476996.350,29:38.3
7288,21.008731,105.8539312,2305:476996.400,29:38.4
7289,21.00873117,105.8539323,2305:476996.450,29:38.4
7290,21.00873117,105.8539332,2305:476996.500,29:38.5
7291,21.00873133,105.853934,2305:476996.550,29:38.5
7292,21.0087315,105.853935,2305:476996.600,29:38.6
7293,21.0087315,105.8539358,2305:476996.650,29:38.6
7294,21.00873167,105.8539368,2305:476996.700,29:38.7
7295,21.00873183,105.8539375,2305:476996.750,29:38.7
7296,21.008732,105.8539383,2305:476996.800,29:38.8
7297,21.00873217,105.8539392,2305:476996.850,29:38.8
7298,21.00873233,105.85394,2305:476996.900,29:38.9
7299,21.00873233,105.8539407,2305:476996.950,29:38.9
7300,21.0087325,105.8539413,2305:476997.000,29:39.0
7301,21.00873267,105.8539422,2305:476997.050,29:39.0
7302,21.00873267,105.8539428,2305:476997.100,29:39.1
7303,21.00873283,105.8539435,2305:476997.150,29:39.1
7304,21.00873283,105.8539442,2305:476997.200,29:39.2
7305,21.008733,105.8539447,2305:476997.250,29:39.2
7306,21.00873317,105.8539452,2305:476997.300,29:39.3
7307,21.00873317,105.8539457,2305:476997.350,29:39.3
7308,21.00873317,105.8539463,2305:476997.400,29:39.4
7309,21.00873333,105.8539468,2305:476997.450,29:39.4
7310,21.0087335,105.8539475,2305:476997.500,29:39.5
7311,21.00873367,105.853948,2305:476997.550,29:39.5
7312,21.00873367,105.8539485,2305:476997.600,29:39.6
7313,21.00873367,105.8539492,2305:476997.650,29:39.6
7314,21.00873383,105.8539498,2305:476997.700,29:39.7
7315,21.00873383,105.8539505,2305:476997.750,29:39.7
7316,21.008734,105.853951,2305:476997.800,29:39.8
7317,21.008734,105.8539515,2305:476997.850,29:39.8
7318,21.00873417,105.8539522,2305:476997.900,29:39.9
7319,21.00873433,105.8539528,2305:476997.950,29:39.9
7320,21.00873433,105.853954,2305:476998.050,29:40.1
7321,21.00873433,105.8539547,2305:476998.100,29:40.1
7322,21.0087345,105.8539552,2305:476998.150,29:40.1
7323,21.00873467,105.8539558,2305:476998.200,29:40.2
7324,21.00873467,105.8539565,2305:476998.250,29:40.2
7325,21.00873483,105.853957,2305:476998.300,29:40.3
7326,21.008735,105.8539578,2305:476998.350,29:40.3
7327,21.008735,105.8539583,2305:476998.400,29:40.4
7328,21.008735,105.853959,2305:476998.450,29:40.4
7329,21.00873517,105.8539597,2305:476998.500,29:40.5
7330,21.00873533,105.8539603,2305:476998.550,29:40.5
7331,21.00873533,105.853961,2305:476998.600,29:40.6
7332,21.0087355,105.8539615,2305:476998.650,29:40.6
7333,21.0087355,105.8539622,2305:476998.700,29:40.7
7334,21.00873567,105.8539627,2305:476998.750,29:40.7
7335,21.00873567,105.8539633,2305:476998.800,29:40.8
7336,21.00873583,105.8539638,2305:476998.850,29:40.8
7337,21.00873583,105.8539645,2305:476998.900,29:40.9
7338,21.008736,105.8539652,2305:476998.950,29:40.9
7339,21.00873617,105.8539665,2305:476999.050,29:41.0
7340,21.00873633,105.8539668,2305:476999.100,29:41.1
7341,21.00873633,105.8539673,2305:476999.150,29:41.1
7342,21.00873617,105.8539678,2305:476999.200,29:41.2
7343,21.00873633,105.8539683,2305:476999.250,29:41.2
7344,21.0087365,105.8539688,2305:476999.300,29:41.3
7345,21.0087365,105.8539693,2305:476999.350,29:41.3
7346,21.0087365,105.8539698,2305:476999.400,29:41.4
7347,21.00873667,105.8539703,2305:476999.450,29:41.4
7348,21.00873667,105.8539707,2305:476999.500,29:41.5
7349,21.00873683,105.8539712,2305:476999.550,29:41.5
7350,21.00873683,105.8539717,2305:476999.600,29:41.6
7351,21.00873683,105.8539722,2305:476999.650,29:41.6
7352,21.008737,105.8539727,2305:476999.700,29:41.7
7353,21.00873683,105.853973,2305:476999.750,29:41.7
7354,21.00873683,105.8539733,2305:476999.800,29:41.8
7355,21.00873683,105.8539738,2305:476999.850,29:41.8
7356,21.008737,105.8539743,2305:476999.900,29:41.9
7357,21.00873717,105.8539748,2305:476999.950,29:41.9
7358,21.00873717,105.8539752,2305:477000.000,29:42.0
7359,21.00873717,105.8539755,2305:477000.050,29:42.0
7360,21.00873733,105.8539763,2305:477000.150,29:42.1
7361,21.00873733,105.8539767,2305:477000.200,29:42.2
7362,21.00873733,105.8539772,2305:477000.250,29:42.3
7363,21.00873733,105.8539775,2305:477000.300,29:42.3
7364,21.0087375,105.8539778,2305:477000.350,29:42.3
7365,21.0087375,105.8539782,2305:477000.400,29:42.4
7366,21.0087375,105.8539785,2305:477000.450,29:42.4
7367,21.00873767,105.853979,2305:477000.500,29:42.5
7368,21.00873767,105.8539793,2305:477000.550,29:42.5
7369,21.00873767,105.8539797,2305:477000.600,29:42.6
7370,21.00873783,105.85398,2305:477000.650,29:42.6
7371,21.00873783,105.8539805,2305:477000.700,29:42.7
7372,21.00873783,105.8539807,2305:477000.750,29:42.7
7373,21.00873783,105.8539808,2305:477000.800,29:42.8
7374,21.008738,105.8539813,2305:477000.850,29:42.8
7375,21.008738,105.8539815,2305:477000.900,29:42.9
7376,21.008738,105.8539818,2305:477000.950,29:43.0
7377,21.008738,105.8539823,2305:477001.050,29:43.0
7378,21.00873817,105.8539825,2305:477001.100,29:43.1
7379,21.00873817,105.8539827,2305:477001.150,29:43.1
7380,21.00873817,105.8539828,2305:477001.200,29:43.2
7381,21.00873817,105.853983,2305:477001.250,29:43.2
7382,21.008738,105.853983,2305:477001.300,29:43.3
7383,21.008738,105.8539832,2305:477001.350,29:43.3
7384,21.008738,105.8539832,2305:477001.400,29:43.4
7385,21.008738,105.8539833,2305:477001.450,29:43.4
7386,21.008738,105.8539833,2305:477001.500,29:43.5
7387,21.008738,105.8539835,2305:477001.550,29:43.5
7388,21.00873783,105.8539835,2305:477001.600,29:43.6
7389,21.00873783,105.8539835,2305:477001.650,29:43.6
7390,21.00873783,105.8539835,2305:477001.700,29:43.7
7391,21.00873783,105.8539835,2305:477001.750,29:43.7
7392,21.00873767,105.8539833,2305:477001.800,29:43.8
7393,21.00873767,105.8539833,2305:477001.850,29:43.8
7394,21.00873767,105.8539832,2305:477001.900,29:43.9
7395,21.00873767,105.8539833,2305:477001.950,29:43.9
7396,21.0087375,105.8539833,2305:477002.050,29:44.0
7397,21.00873733,105.8539832,2305:477002.100,29:44.1
7398,21.00873733,105.8539832,2305:477002.150,29:44.1
7399,21.00873733,105.8539832,2305:477002.200,29:44.2
7400,21.00873733,105.8539832,2305:477002.250,29:44.2
7401,21.00873717,105.8539832,2305:477002.300,29:44.3
7402,21.00873717,105.8539832,2305:477002.350,29:44.3
7403,21.008737,105.853983,2305:477002.400,29:44.4
7404,21.008737,105.853983,2305:477002.450,29:44.4
7405,21.00873683,105.853983,2305:477002.500,29:44.5
7406,21.00873683,105.853983,2305:477002.550,29:44.5
7407,21.00873683,105.853983,2305:477002.600,29:44.6
7408,21.00873667,105.853983,2305:477002.650,29:44.6
7409,21.00873667,105.853983,2305:477002.700,29:44.7
7410,21.0087365,105.853983,2305:477002.750,29:44.7
7411,21.0087365,105.853983,2305:477002.800,29:44.8
7412,21.0087365,105.853983,2305:477002.850,29:44.8
7413,21.00873633,105.8539828,2305:477002.900,29:44.9
7414,21.00873633,105.8539828,2305:477002.950,29:44.9
7415,21.00873633,105.8539828,2305:477003.050,29:45.0
7416,21.00873617,105.8539828,2305:477003.100,29:45.1
7417,21.00873617,105.8539828,2305:477003.150,29:45.2
7418,21.008736,105.8539827,2305:477003.200,29:45.2
7419,21.008736,105.8539827,2305:477003.250,29:45.2
7420,21.00873583,105.8539827,2305:477003.300,29:45.3
7421,21.00873583,105.8539828,2305:477003.350,29:45.3
7422,21.00873567,105.8539827,2305:477003.400,29:45.4
7423,21.00873567,105.8539827,2305:477003.450,29:45.4
7424,21.00873567,105.8539825,2305:477003.500,29:45.5
7425,21.0087355,105.8539825,2305:477003.550,29:45.5
7426,21.0087355,105.8539825,2305:477003.600,29:45.6
7427,21.0087355,105.8539825,2305:477003.650,29:45.6
7428,21.00873533,105.8539827,2305:477003.700,29:45.7
7429,21.00873533,105.8539825,2305:477003.750,29:45.7
7430,21.00873517,105.8539825,2305:477003.800,29:45.8
7431,21.00873517,105.8539825,2305:477003.850,29:45.8
7432,21.00873517,105.8539825,2305:477003.900,29:45.9
7433,21.008735,105.8539825,2305:477003.950,29:45.9
7434,21.008735,105.8539825,2305:477004.000,29:46.0
7435,21.00873483,105.8539823,2305:477004.050,29:46.0
7436,21.00873483,105.8539823,2305:477004.150,29:46.1
7437,21.00873483,105.8539823,2305:477004.200,29:46.2
7438,21.00873467,105.8539823,2305:477004.250,29:46.2
7439,21.00873467,105.8539823,2305:477004.300,29:46.3
7440,21.0087345,105.8539822,2305:477004.350,29:46.3
7441,21.0087345,105.8539822,2305:477004.400,29:46.4
7442,21.0087345,105.8539823,2305:477004.450,29:46.4
7443,21.0087345,105.8539823,2305:477004.500,29:46.5
7444,21.0087345,105.8539823,2305:477004.550,29:46.5
7445,21.0087345,105.8539822,2305:477004.600,29:46.6
7446,21.0087345,105.8539822,2305:477004.650,29:46.6
7447,21.0087345,105.8539822,2305:477004.700,29:46.7
7448,21.0087345,105.8539822,2305:477004.750,29:46.7
7449,21.0087345,105.8539822,2305:477004.800,29:46.8
7450,21.0087345,105.8539822,2305:477004.850,29:46.8
7451,21.0087345,105.8539822,2305:477004.900,29:46.9
7452,21.0087345,105.8539822,2305:477004.950,29:46.9
7453,21.00873433,105.8539822,2305:477005.000,29:47.0
7454,21.0087345,105.8539822,2305:477005.050,29:47.0
7455,21.0087345,105.8539822,2305:477005.100,29:47.1
7456,21.00873433,105.8539822,2305:477005.200,29:47.2
7457,21.00873433,105.8539822,2305:477005.250,29:47.2
7458,21.00873433,105.8539822,2305:477005.300,29:47.3
7459,21.00873433,105.8539822,2305:477005.350,29:47.4
7460,21.00873433,105.8539822,2305:477005.400,29:47.4
7461,21.00873433,105.8539822,2305:477005.450,29:47.4
7462,21.00873433,105.8539822,2305:477005.500,29:47.5
7463,21.00873433,105.8539822,2305:477005.550,29:47.5
7464,21.00873433,105.8539822,2305:477005.600,29:47.6
7465,21.00873433,105.8539822,2305:477005.650,29:47.6
7466,21.00873433,105.8539822,2305:477005.700,29:47.7
7467,21.00873433,105.853982,2305:477005.750,29:47.7
7468,21.00873433,105.853982,2305:477005.800,29:47.8
7469,21.00873433,105.853982,2305:477005.850,29:47.8
7470,21.00873433,105.8539822,2305:477005.900,29:47.9
7471,21.00873433,105.853982,2305:477005.950,29:47.9
7472,21.00873417,105.8539822,2305:477006.000,29:48.0
7473,21.00873417,105.8539822,2305:477006.050,29:48.1
7474,21.00873417,105.8539822,2305:477006.150,29:48.1
7475,21.00873417,105.853982,2305:477006.200,29:48.2
7476,21.00873417,105.853982,2305:477006.250,29:48.2
7477,21.00873417,105.8539822,2305:477006.300,29:48.3
7478,21.00873417,105.853982,2305:477006.350,29:48.3
7479,21.00873417,105.853982,2305:477006.400,29:48.4
7480,21.00873417,105.853982,2305:477006.450,29:48.4
7481,21.008734,105.853982,2305:477006.500,29:48.5
7482,21.008734,105.8539822,2305:477006.550,29:48.5
7483,21.008734,105.8539822,2305:477006.600,29:48.6
7484,21.008734,105.8539822,2305:477006.650,29:48.6
7485,21.008734,105.8539822,2305:477006.700,29:48.7
7486,21.008734,105.853982,2305:477006.750,29:48.7
7487,21.008734,105.853982,2305:477006.800,29:48.8
7488,21.008734,105.8539822,2305:477006.850,29:48.8
7489,21.008734,105.8539822,2305:477006.900,29:48.9
7490,21.00873383,105.853982,2305:477006.950,29:48.9
7491,21.00873383,105.853982,2305:477007.050,29:49.0
7492,21.00873383,105.853982,2305:477007.100,29:49.1
7493,21.00873383,105.853982,2305:477007.150,29:49.1
7494,21.00873383,105.853982,2305:477007.200,29:49.2
7495,21.00873383,105.853982,2305:477007.250,29:49.2
7496,21.00873383,105.853982,2305:477007.300,29:49.3
7497,21.00873367,105.853982,2305:477007.350,29:49.3
7498,21.00873367,105.853982,2305:477007.400,29:49.4
7499,21.00873367,105.8539818,2305:477007.450,29:49.4
7500,21.0087335,105.8539818,2305:477007.500,29:49.5
7501,21.0087335,105.8539818,2305:477007.550,29:49.6
7502,21.0087335,105.8539818,2305:477007.600,29:49.6
7503,21.00873333,105.8539818,2305:477007.650,29:49.6
7504,21.00873333,105.8539818,2305:477007.700,29:49.7
7505,21.00873317,105.8539817,2305:477007.750,29:49.7
7506,21.00873317,105.8539817,2305:477007.800,29:49.8
7507,21.00873317,105.8539817,2305:477007.850,29:49.8
7508,21.008733,105.8539817,2305:477007.900,29:49.9
7509,21.008733,105.8539815,2305:477007.950,29:49.9
7510,21.00873283,105.8539815,2305:477008.000,29:50.0
7511,21.00873283,105.8539815,2305:477008.050,29:50.0
